[2026-06-11T18:36:34.505Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:36:34.557Z] [Server -> Client] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:36:34.563Z] [Client -> Server] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:36:34.563Z] [Server -> Container] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:36:36.736Z] [Client -> Server] len=1 | HEX: 6c | ASCII: l
[2026-06-11T18:36:36.737Z] [Server -> Container] len=1 | HEX: 6c | ASCII: l
[2026-06-11T18:36:36.739Z] [Container -> Server] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:36:36.790Z] [Server -> Client] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:36:37.107Z] [Client -> Server] len=1 | HEX: 73 | ASCII: s
[2026-06-11T18:36:37.107Z] [Server -> Container] len=1 | HEX: 73 | ASCII: s
[2026-06-11T18:36:37.109Z] [Container -> Server] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:36:37.160Z] [Server -> Client] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:36:37.397Z] [Client -> Server] len=1 | HEX: 0d | ASCII: <CR>
[2026-06-11T18:36:37.397Z] [Server -> Container] len=1 | HEX: 0d | ASCII: <CR>
[2026-06-11T18:36:37.399Z] [Container -> Server] len=10 | HEX: 01000000000000020d0a | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>
[2026-06-11T18:36:37.400Z] [Container -> Server] len=27 | HEX: 01000000000000131b5b303b306d696e6465782e6a731b5b6d0d0a | ASCII: \x01\x00\x00\x00\x00\x00\x00\x13<ESC>[0;0mindex.js<ESC>[m<CR><LF>
[2026-06-11T18:36:37.400Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:36:37.451Z] [Server -> Client] len=56 | HEX: 01000000000000020d0a01000000000000131b5b303b306d696e6465782e6a731b5b6d0d0a010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>\x01\x00\x00\x00\x00\x00\x00\x13<ESC>[0;0mindex.js<ESC>[m<CR><LF>\x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:36:37.452Z] [Client -> Server] len=6 | HEX: 1b5b353b3852 | ASCII: <ESC>[5;8R
[2026-06-11T18:36:37.453Z] [Server -> Container] len=6 | HEX: 1b5b353b3852 | ASCII: <ESC>[5;8R
[2026-06-11T18:36:44.047Z] [Client -> Server] len=1 | HEX: 6c | ASCII: l
[2026-06-11T18:36:44.048Z] [Server -> Container] len=1 | HEX: 6c | ASCII: l
[2026-06-11T18:36:44.049Z] [Container -> Server] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:36:44.100Z] [Server -> Client] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:36:44.440Z] [Client -> Server] len=1 | HEX: 73 | ASCII: s
[2026-06-11T18:36:44.440Z] [Server -> Container] len=1 | HEX: 73 | ASCII: s
[2026-06-11T18:36:44.443Z] [Container -> Server] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:36:44.495Z] [Server -> Client] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:36:44.707Z] [Client -> Server] len=1 | HEX: 0d | ASCII: <CR>
[2026-06-11T18:36:44.708Z] [Server -> Container] len=1 | HEX: 0d | ASCII: <CR>
[2026-06-11T18:36:44.710Z] [Container -> Server] len=10 | HEX: 01000000000000020d0a | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>
[2026-06-11T18:36:44.711Z] [Container -> Server] len=48 | HEX: 01000000000000281b5b303b306d696e6465782e6a731b5b6d2020201b5b303b306d696e646578322e6a731b5b6d0d0a | ASCII: \x01\x00\x00\x00\x00\x00\x00(<ESC>[0;0mindex.js<ESC>[m   <ESC>[0;0mindex2.js<ESC>[m<CR><LF>
[2026-06-11T18:36:44.711Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:36:44.762Z] [Server -> Client] len=77 | HEX: 01000000000000020d0a01000000000000281b5b303b306d696e6465782e6a731b5b6d2020201b5b303b306d696e646578322e6a731b5b6d0d0a010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>\x01\x00\x00\x00\x00\x00\x00(<ESC>[0;0mindex.js<ESC>[m   <ESC>[0;0mindex2.js<ESC>[m<CR><LF>\x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:36:44.763Z] [Client -> Server] len=6 | HEX: 1b5b383b3852 | ASCII: <ESC>[8;8R
[2026-06-11T18:36:44.764Z] [Server -> Container] len=6 | HEX: 1b5b383b3852 | ASCII: <ESC>[8;8R
[2026-06-11T18:36:53.726Z] [Client -> Server] len=1 | HEX: 6c | ASCII: l
[2026-06-11T18:36:53.727Z] [Server -> Container] len=1 | HEX: 6c | ASCII: l
[2026-06-11T18:36:53.743Z] [Container -> Server] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:36:53.795Z] [Server -> Client] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:36:54.128Z] [Client -> Server] len=1 | HEX: 73 | ASCII: s
[2026-06-11T18:36:54.129Z] [Server -> Container] len=1 | HEX: 73 | ASCII: s
[2026-06-11T18:36:54.132Z] [Container -> Server] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:36:54.184Z] [Server -> Client] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:36:54.407Z] [Client -> Server] len=1 | HEX: 0d | ASCII: <CR>
[2026-06-11T18:36:54.408Z] [Server -> Container] len=1 | HEX: 0d | ASCII: <CR>
[2026-06-11T18:36:54.410Z] [Container -> Server] len=10 | HEX: 01000000000000020d0a | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>
[2026-06-11T18:36:54.412Z] [Container -> Server] len=87 | HEX: 010000000000003c1b5b303b306d696e6465782e6a731b5b6d2020201b5b303b306d696e646578322e6a731b5b6d20201b5b303b306d696e646578332e6a731b5b6d0d0a010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00<<ESC>[0;0mindex.js<ESC>[m   <ESC>[0;0mindex2.js<ESC>[m  <ESC>[0;0mindex3.js<ESC>[m<CR><LF>\x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:36:54.462Z] [Server -> Client] len=97 | HEX: 01000000000000020d0a010000000000003c1b5b303b306d696e6465782e6a731b5b6d2020201b5b303b306d696e646578322e6a731b5b6d20201b5b303b306d696e646578332e6a731b5b6d0d0a010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>\x01\x00\x00\x00\x00\x00\x00<<ESC>[0;0mindex.js<ESC>[m   <ESC>[0;0mindex2.js<ESC>[m  <ESC>[0;0mindex3.js<ESC>[m<CR><LF>\x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:36:54.465Z] [Client -> Server] len=7 | HEX: 1b5b31313b3852 | ASCII: <ESC>[11;8R
[2026-06-11T18:36:54.465Z] [Server -> Container] len=7 | HEX: 1b5b31313b3852 | ASCII: <ESC>[11;8R
[2026-06-11T18:38:12.819Z] [Client -> Server] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:38:12.820Z] [Server -> Container] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:38:12.820Z] [Client -> Server] len=6 | HEX: 1b5b353b3852 | ASCII: <ESC>[5;8R
[2026-06-11T18:38:12.820Z] [Server -> Container] len=6 | HEX: 1b5b353b3852 | ASCII: <ESC>[5;8R
[2026-06-11T18:38:12.820Z] [Client -> Server] len=6 | HEX: 1b5b383b3852 | ASCII: <ESC>[8;8R
[2026-06-11T18:38:12.821Z] [Server -> Container] len=6 | HEX: 1b5b383b3852 | ASCII: <ESC>[8;8R
[2026-06-11T18:38:12.821Z] [Client -> Server] len=7 | HEX: 1b5b31313b3852 | ASCII: <ESC>[11;8R
[2026-06-11T18:38:12.821Z] [Server -> Container] len=7 | HEX: 1b5b31313b3852 | ASCII: <ESC>[11;8R
[2026-06-11T18:38:46.391Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:38:46.443Z] [Server -> Client] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:38:46.445Z] [Client -> Server] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:39:07.752Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:39:07.804Z] [Server -> Client] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:39:07.805Z] [Client -> Server] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:40:07.572Z] [Client -> Server] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:41:21.309Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:41:21.360Z] [Server -> Client] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:41:21.375Z] [Client -> Server] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:43:31.186Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:43:31.236Z] [Server -> Client] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:43:31.238Z] [Client -> Server] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:43:31.239Z] [Server -> Container] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:44:05.228Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:44:05.281Z] [Server -> Client] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:44:05.283Z] [Client -> Server] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:44:05.283Z] [Server -> Container] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:44:23.799Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:44:23.851Z] [Server -> Client] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:44:23.852Z] [Client -> Server] len=6 | HEX: 1b5b323b3852 | ASCII: <ESC>[2;8R
[2026-06-11T18:44:26.547Z] [Client -> Server] len=1 | HEX: 6c | ASCII: l
[2026-06-11T18:44:26.549Z] [Container -> Server] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:44:26.600Z] [Server -> Client] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:44:26.997Z] [Client -> Server] len=1 | HEX: 73 | ASCII: s
[2026-06-11T18:44:27.002Z] [Container -> Server] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:44:27.053Z] [Server -> Client] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:44:27.294Z] [Client -> Server] len=1 | HEX: 0d | ASCII: <CR>
[2026-06-11T18:44:27.296Z] [Container -> Server] len=10 | HEX: 01000000000000020d0a | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>
[2026-06-11T18:44:27.296Z] [Container -> Server] len=27 | HEX: 01000000000000131b5b303b306d696e6465782e6a731b5b6d0d0a | ASCII: \x01\x00\x00\x00\x00\x00\x00\x13<ESC>[0;0mindex.js<ESC>[m<CR><LF>
[2026-06-11T18:44:27.297Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:44:27.345Z] [Server -> Client] len=56 | HEX: 01000000000000020d0a01000000000000131b5b303b306d696e6465782e6a731b5b6d0d0a010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>\x01\x00\x00\x00\x00\x00\x00\x13<ESC>[0;0mindex.js<ESC>[m<CR><LF>\x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:44:27.347Z] [Client -> Server] len=6 | HEX: 1b5b353b3852 | ASCII: <ESC>[5;8R
[2026-06-11T18:44:33.575Z] [Client -> Server] len=1 | HEX: 6c | ASCII: l
[2026-06-11T18:44:33.577Z] [Container -> Server] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:44:33.628Z] [Server -> Client] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:44:33.976Z] [Client -> Server] len=1 | HEX: 73 | ASCII: s
[2026-06-11T18:44:33.977Z] [Container -> Server] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:44:34.028Z] [Server -> Client] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:44:34.269Z] [Client -> Server] len=1 | HEX: 0d | ASCII: <CR>
[2026-06-11T18:44:34.270Z] [Container -> Server] len=10 | HEX: 01000000000000020d0a | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>
[2026-06-11T18:44:34.271Z] [Container -> Server] len=48 | HEX: 01000000000000281b5b303b306d696e6465782e6a731b5b6d2020201b5b303b306d696e646578322e6a731b5b6d0d0a | ASCII: \x01\x00\x00\x00\x00\x00\x00(<ESC>[0;0mindex.js<ESC>[m   <ESC>[0;0mindex2.js<ESC>[m<CR><LF>
[2026-06-11T18:44:34.271Z] [Container -> Server] len=19 | HEX: 010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:44:34.321Z] [Server -> Client] len=77 | HEX: 01000000000000020d0a01000000000000281b5b303b306d696e6465782e6a731b5b6d2020201b5b303b306d696e646578322e6a731b5b6d0d0a010000000000000b2f6170702023201b5b366e | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>\x01\x00\x00\x00\x00\x00\x00(<ESC>[0;0mindex.js<ESC>[m   <ESC>[0;0mindex2.js<ESC>[m<CR><LF>\x01\x00\x00\x00\x00\x00\x00\x0b/app # <ESC>[6n
[2026-06-11T18:44:34.322Z] [Client -> Server] len=6 | HEX: 1b5b383b3852 | ASCII: <ESC>[8;8R
[2026-06-11T18:44:41.279Z] [Client -> Server] len=1 | HEX: 6c | ASCII: l
[2026-06-11T18:44:41.282Z] [Container -> Server] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:44:41.333Z] [Server -> Client] len=9 | HEX: 01000000000000016c | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01l
[2026-06-11T18:44:41.753Z] [Client -> Server] len=1 | HEX: 73 | ASCII: s
[2026-06-11T18:44:41.758Z] [Container -> Server] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:44:41.807Z] [Server -> Client] len=9 | HEX: 010000000000000173 | ASCII: \x01\x00\x00\x00\x00\x00\x00\x01s
[2026-06-11T18:44:42.048Z] [Client -> Server] len=1 | HEX: 0d | ASCII: <CR>
[2026-06-11T18:44:42.058Z] [Container -> Server] len=10 | HEX: 01000000000000020d0a | ASCII: \x01\x00\x00\x00\x00\x00\x00\x02<CR><LF>
